No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,L1,L2,  Jackpot,   Wins
558, Fri,25,Jan,2013, 03,10,37,18,31,02,04,  37772357,    0
557, Tue,22,Jan,2013, 45,10,48,01,44,04,01,  27777897,    0
556, Fri,18,Jan,2013, 39,26,27,30,04,10,03,  21672986,    0
555, Tue,15,Jan,2013, 47,42,22,40,38,11,01,  12441000,    0
554, Fri,11,Jan,2013, 37,22,29,04,41,07,04,  28307149,    1
553, Tue, 8,Jan,2013, 22,26,47,02,20,09,05,  18341712,    0
552, Fri, 4,Jan,2013, 04,10,27,22,41,10,08,  12216000,    0
551, Tue, 1,Jan,2013, 36,49,02,07,08,11,01,  10243449,    3
550, Fri,28,Dec,2012, 26,49,27,24,17,03,05,  21875652,    0
549, Tue,25,Dec,2012, 14,20,32,23,18,03,10,  12322500,    0
548, Fri,21,Dec,2012, 40,05,03,42,22,03,10,  83087699,    1
547, Tue,18,Dec,2012, 35,14,44,18,20,05,02,  70070413,    0
546, Fri,14,Dec,2012, 40,29,11,43,10,11,03,  62293153,    0
545, Tue,11,Dec,2012, 50,04,09,01,43,06,08,  51106703,    0
544, Fri, 7,Dec,2012, 10,18,31,42,16,02,05,  44054164,    0
543, Tue, 4,Dec,2012, 05,10,28,29,44,02,04,  34505412,    0
542, Fri,30,Nov,2012, 18,23,40,24,10,03,04,  27864810,    0
541, Tue,27,Nov,2012, 49,44,06,10,23,07,01,  18165905,    0
540, Fri,23,Nov,2012, 11,20,40,09,01,05,01,  12147000,    0
539, Tue,20,Nov,2012, 42,28,45,30,49,10,05,  18330737,    1
538, Fri,16,Nov,2012, 15,19,41,23,10,02,09,  12039000,    0
537, Tue,13,Nov,2012, 29,11,21,24,16,06,02, 136124363,    1
536, Fri, 9,Nov,2012, 47,28,14,21,22,05,04, 122416477,    0
535, Tue, 6,Nov,2012, 35,25,20,41,07,01,09, 106443387,    0
534, Fri, 2,Nov,2012, 06,10,03,44,11,03,04,  95574746,    0
533, Tue,30,Oct,2012, 23,44,25,24,31,02,03,  82777654,    0
532, Fri,26,Oct,2012, 09,05,06,38,27,05,11,  73585548,    0
531, Tue,23,Oct,2012, 01,35,38,50,28,02,10,  62668378,    0
530, Fri,19,Oct,2012, 16,40,44,37,29,08,10,  55297557,    0
529, Tue,16,Oct,2012, 41,10,40,49,32,02,08,  44407071,    0
528, Fri,12,Oct,2012, 35,07,17,43,06,02,08,  37648529,    0
527, Tue, 9,Oct,2012, 23,08,10,25,02,08,09,  27768213,    0
526, Fri, 5,Oct,2012, 19,16,18,21,09,03,02,  21701658,    0
525, Tue, 2,Oct,2012, 16,42,21,36,04,08,07,  12015000,    0
524, Fri,28,Sep,2012, 20,26,30,33,23,06,09,  79750000,    1
523, Tue,25,Sep,2012, 48,25,27,49,07,01,04,  27120727,    0
522, Fri,21,Sep,2012, 41,04,34,43,19,07,11,  21218945,    0
521, Tue,18,Sep,2012, 38,07,39,44,06,07,09,  12058500,    0
520, Fri,14,Sep,2012, 27,10,44,23,03,09,07,  21511885,    1
519, Tue,11,Sep,2012, 15,06,37,22,44,02,04,  12016500,    0
518, Fri, 7,Sep,2012, 15,35,13,30,42,04,06,  37827315,    1
517, Tue, 4,Sep,2012, 18,39,17,44,11,10,05,  27605924,    0
516, Fri,31,Aug,2012, 31,28,16,48,33,11,07,  21380703,    0
515, Tue,28,Aug,2012, 01,26,25,44,18,05,04,  11914500,    0
514, Fri,24,Aug,2012, 06,05,19,37,12,07,03,  37709047,    1
513, Tue,21,Aug,2012, 17,05,38,04,48,04,03,  27638401,    0
512, Fri,17,Aug,2012, 19,25,33,44,28,08,02,  21173767,    0
511, Tue,14,Aug,2012, 45,16,42,01,38,09,10,  11805000,    0
510, Fri,10,Aug,2012, 50,21,17,48,11,09,10, 148656000,    1
509, Tue, 7,Aug,2012, 20,50,34,46,27,03,02, 151012000,    0
508, Fri, 3,Aug,2012, 34,35,42,24,46,05,01, 142677285,    0
507, Tue,31,Jul,2012, 35,39,04,36,29,09,08, 123419567,    0
506, Fri,27,Jul,2012, 14,15,21,23,48,02,10, 110973507,    0
